Total Primary Energy Consumption Annual
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.TETCBUS.A
21:13:23 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TETCBUS.A Trillion Btu
2017,97868.486
2016,97581.919
2015,97526.034
2014,98490.661
2013,97340.441
2012,94534.976
2011,96976.026
2010,97580.057
2009,94117.614
2008,98890.755
2007,101014.753
2006,99484.49
2005,100187.721
2004,100089.702
2003,97917.504
2002,97643.478
2001,96169.669
2000,98816.545
1999,96648.392
1998,95017.738
1997,94600.341
1996,94020.528
1995,91030.608
1994,89087.341
1993,87365.525
1992,85782.166
1991,84437.217
1990,84484.553
1989,84785.325
1988,82709.172
1987,79054.456
1986,76647.005
1985,76392.385
1984,76631.701
1983,72970.566
1982,73099.185
1981,76105.776
1980,78066.668
1979,80858.584
1978,79950.406
1977,77961.33
1976,75974.826
1975,71964.553
1974,73962.369
1973,75683.69
1972,72687.867
1971,69282.843
1970,67838.325
1969,65614.02
1968,62414.507
1967,58904.521
1966,57014.332
1965,54015.001
1964,51814.788
1963,49644.195
1962,47826.437
1961,45737.837
1960,45086.455
1959,43465.722
1958,41645.028
1957,41787.186
1956,41754.252
1955,40207.971
1954,36639.382
1953,37664.468
1952,36747.825
1951,36974.03
1950,34615.768
1949,31981.503
