Total Primary Energy Exports Annual
https://www.eia.gov/opendata/qb.php?category=711242&sdid=TOTAL.TEEXBUS.A
17:15:05 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TEEXBUS.A Trillion Btu
2017,17960.208
2016,14119.207
2015,12902.152
2014,12269.775
2013,11787.545
2012,11267.352
2011,10372.719
2010,8176.03
2009,6920.2
2008,6949.183
2007,5337.81
2006,4727.336
2005,4461.886
2004,4351.36
2003,4013.13
2002,3608.24
2001,3731.109
2000,3961.655
1999,3668.786
1998,4236.745
1997,4493.397
1996,4612.553
1995,4495.889
1994,4035.284
1993,4226.672
1992,4936.942
1991,5140.965
1990,4752.484
1989,4660.899
1988,4366.453
1987,3811.95
1986,4021.479
1985,4196.178
1984,3786.147
1983,3692.931
1982,4607.601
1981,4307.241
1980,3694.771
1979,2855.114
1978,1920.437
1977,2051.891
1976,2171.688
1975,2323.251
1974,2203.366
1973,2033.086
1972,2118.31
1971,2150.898
1970,2632.135
1969,2125.659
1968,1998.489
1967,2115.402
1966,1829.067
1965,1828.933
1964,1814.661
1963,1835.183
1962,1472.536
1961,1376.584
1960,1477.475
1959,1533.808
1958,2049.839
1957,3439.441
1956,2945.377
1955,2285.508
1954,1696.301
1953,1866.013
1952,2365.131
1951,2621.545
1950,1465.322
1949,1591.76
