Total Primary Energy Net Imports Annual
https://www.eia.gov/opendata/qb.php?category=711242&sdid=TOTAL.TENIBUS.A
17:15:54 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TENIBUS.A Trillion Btu
2017,7506.418
2016,11258.955
2015,10891.521
2014,10971.211
2013,12835.02
2012,15800.794
2011,18375.311
2010,21689.881
2009,22770.155
2008,26021.185
2007,29340.725
2006,29921.453
2005,30197.382
2004,29140.891
2003,26993.817
2002,25722.303
2001,26321.066
2000,24903.597
1999,23482.795
1998,22235.774
1997,20625.843
1996,19020.702
1995,17683.723
1994,18271.388
1993,16991.662
1992,14435.263
1991,13193.856
1990,14064.775
1989,14105.399
1988,12929.477
1987,11586.273
1986,10129.923
1985,7584.397
1984,8684.579
1983,8058.872
1982,7253.481
1981,9411.786
1980,12101.464
1979,16604.703
1978,17185.733
1977,17896.24
1976,14588.371
1975,11709.137
1974,12100.909
1973,12580.059
1972,9268.831
1971,7383.872
1970,5709.48
1969,5550.558
1968,4906.625
1967,4043.753
1966,4316.764
1965,4063.003
1964,3632.635
1963,3251.471
1962,3521.744
1961,3060.316
1960,2710.151
1959,2542.47
1958,1834.533
1957,89.541
1956,261.364
1955,504.399
1954,651.575
1953,447.029
1952,-219.147
1951,-729.119
1950,447.565
1949,-143.602
