Heating Degree-Days United States Annual
https://www.eia.gov/opendata/qb.php?category=1566347&sdid=TOTAL.ZWHDPUS.A
17:36:37 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.ZWHDPUS.A Number
2017,3832
2016,3879
2015,4087
2014,4550
2013,4465
2012,3769
2011,4312
2010,4463
2009,4481
2008,4494
2007,4268
2006,4040
2005,4348
2004,4344
2003,4544
2002,4356
2001,4257
2000,4494
1999,4232
1998,4051
1997,4629
1996,4801
1995,4640
1994,4609
1993,4837
1992,4584
1991,4347
1990,4180
1989,4895
1988,4841
1987,4533
1986,4519
1985,4889
1984,4776
1983,4908
1982,4937
1981,4853
1980,5080
1979,5168
1978,5384
1977,5016
1976,5181
1975,4905
1974,4882
1973,4764
1972,5251
1971,5072
1970,5218
1969,5303
1968,5248
1967,5216
1966,5310
1965,5146
1964,5086
1963,5361
1962,5344
1961,5193
1960,5404
1959,5095
1958,5468
1957,5047
1956,5128
1955,5246
1954,4964
1953,4749
1952,5085
1951,5315
1950,5367
1949,4938
