Total Energy CO2 Emissions Annual
https://www.eia.gov/opendata/qb.php?category=711312&sdid=TOTAL.TETCEUS.A
14:47:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TETCEUS.A Million Metric Tons of Carbon Dioxide
2017,5143.76
2016,5186.04
2015,5273.399
2014,5419.099
2013,5371.331
2012,5242.43
2011,5452.425
2010,5588.442
2009,5392.833
2008,5810.806
2007,6002.072
2006,5910.978
2005,5990.192
2004,5969.398
2003,5853.638
2002,5802.701
2001,5759.378
2000,5863.748
1999,5687.374
1998,5634.599
1997,5581.606
1996,5509.685
1995,5321.294
1994,5257.911
1993,5180.65
1992,5089.638
1991,4992.917
1990,5038.3
1989,5066.325
1988,4981.583
1987,4756.896
1986,4598.49
1985,4592.549
1984,4600.353
1983,4370.874
1982,4392.799
1981,4625.276
1980,4749.865
1979,4944.524
1978,4879.455
1977,4830.053
1976,4688.825
1975,4421.434
1974,4555.845
1973,4715.342
1972,4532.008
1971,4311.927
1970,4261.308
1969,4134.687
1968,3964.523
1967,3749.382
1966,3654.179
1965,3461.741
1964,3316.753
1963,3184.517
1962,3064.923
1961,2942.791
1960,2914.009
1959,2807.171
1958,2703.189
1957,2756.562
1956,2777.043
1955,2684.786
1954,2422.253
1953,2536.893
1952,2473.374
1951,2526.687
1950,2382.046
1949,2206.691
