Total Primary Energy Production Annual
https://www.eia.gov/opendata/qb.php?category=711239&sdid=TOTAL.TEPRBUS.A
09:24:47 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TEPRBUS.A Trillion Btu
2017,88159.528
2016,84261.876
2015,88246.754
2014,87754.041
2013,81870.781
2012,79261.858
2011,78060.052
2010,74868.389
2009,72636.619
2008,73204.556
2007,71397.696
2006,70734.521
2005,69430.698
2004,70227.653
2003,69934.807
2002,70709.947
2001,71731.926
2000,71330.001
1999,71740.29
1998,72874.596
1997,72470.467
1996,72484.764
1995,71172.857
1994,70724.639
1993,68314.474
1992,69954.805
1991,70361.631
1990,70703.965
1989,69319.487
1988,68918.719
1987,67542.485
1986,67066.48
1985,67698.304
1984,68839.55
1983,64114.122
1982,66568.607
1981,66950.606
1980,67175.384
1979,65904.29
1978,63103.684
1977,62011.511
1976,61561.168
1975,61320.191
1974,62344.692
1973,63562.605
1972,63903.664
1971,62716.712
1970,63495.439
1969,60534.182
1968,58220.376
1967,56375.801
1966,53531.987
1965,50673.882
1964,49054.018
1963,47171.759
1962,44875.724
1961,43279.04
1960,42803.347
1959,41948.742
1958,40133.327
1957,42982.79
1956,42622.033
1955,40147.667
1954,36518.43
1953,38180.796
1952,37916.913
1951,38750.615
1950,35540.384
1949,31722.16
