All Motor Vehicles Fuel Economy Annual
https://www.eia.gov/opendata/qb.php?category=711246&sdid=TOTAL.MVFRRUS.A
09:29:57 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.MVFRRUS.A Miles per Gallon
2016,17.9
2015,17.9
2014,17.5
2013,17.6
2012,17.6
2011,17.5
2010,17.4
2009,17.6
2008,17.4
2007,17.2
2006,17.2
2005,17.1
2004,17.1
2003,17
2002,16.9
2001,17.1
2000,16.9
1999,16.7
1998,16.9
1997,17
1996,16.9
1995,16.8
1994,16.7
1993,16.7
1992,16.9
1991,16.9
1990,16.4
1989,15.9
1988,15.6
1987,15.1
1986,14.7
1985,14.6
1984,14.5
1983,14.2
1982,14.1
1981,13.6
1980,13.3
1979,12.5
1978,12.4
1977,12.3
1976,12.1
1975,12.2
1974,12
1973,11.9
1972,12
1971,12.1
1970,12
1969,12
1968,12.2
1967,12.4
1966,12.4
1965,12.5
1964,12.5
1963,12.5
1962,12.4
1961,12.4
1960,12.4
1959,12.4
1958,12.4
1957,12.4
1956,12.6
1955,12.7
1954,12.7
1953,12.7
1952,12.7
1951,12.9
1950,12.8
1949,13.1
