U.S. Gross Domestic Product Real Annual
https://www.eia.gov/opendata/qb.php?category=1506717&sdid=TOTAL.GDPRXUS.A
20:19:05 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.GDPRXUS.A Billion chained (2009) dollars
2017,17092.7
2016,16716.2
2015,16471.5
2014,16013.3
2013,15612.2
2012,15354.6
2011,15020.6
2010,14783.8
2009,14418.7
2008,14830.4
2007,14873.7
2006,14613.8
2005,14234.2
2004,13773.5
2003,13271.1
2002,12908.8
2001,12682.2
2000,12559.7
1999,12065.9
1998,11525.9
1997,11034.9
1996,10561
1995,10174.8
1994,9905.4
1993,9521
1992,9266.6
1991,8948.4
1990,8955
1989,8786.4
1988,8474.5
1987,8132.6
1986,7860.5
1985,7593.8
1984,7285
1983,6792
1982,6491.3
1981,6617.7
1980,6450.4
1979,6466.2
1978,6267.2
1977,5937
1976,5675.4
1975,5385.4
1974,5396
1973,5424.1
1972,5134.3
1971,4877.6
1970,4722
1969,4712.5
1968,4569
1967,4355.2
1966,4238.9
1965,3976.7
1964,3734
1963,3530.4
1962,3383.1
1961,3188.1
1960,3108.7
1959,3031
1958,2835.3
1957,2856.3
1956,2797.4
1955,2739
1954,2556.9
1953,2571.4
1952,2456.1
1951,2360
1950,2184
1949,2008.9
