Total Resident Population United States Annual
https://www.eia.gov/opendata/qb.php?category=1506717&sdid=TOTAL.TPOPPUS.A
20:19:51 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TPOPPUS.A Million people
2017,325.7
2016,323.4
2015,321
2014,318.6
2013,316.2
2012,314
2011,311.6
2010,309.3
2009,306.8
2008,304.1
2007,301.2
2006,298.4
2005,295.5
2004,292.8
2003,290.1
2002,287.6
2001,285
2000,282.2
1999,279
1998,275.9
1997,272.6
1996,269.4
1995,266.3
1994,263.1
1993,259.9
1992,256.5
1991,253
1990,249.6
1989,246.8
1988,244.5
1987,242.3
1986,240.1
1985,237.9
1984,235.8
1983,233.8
1982,231.7
1981,229.5
1980,227.2
1979,225.1
1978,222.6
1977,220.2
1976,218
1975,216
1974,213.9
1973,211.9
1972,209.9
1971,207.7
1970,205.1
1969,202.7
1968,200.7
1967,198.7
1966,196.6
1965,194.3
1964,191.9
1963,189.2
1962,186.5
1961,183.7
1960,180.7
1959,177.8
1958,174.9
1957,172
1956,168.9
1955,165.9
1954,163
1953,160.2
1952,157.6
1951,154.9
1950,152.3
1949,149.2
