All Motor Vehicles Mileage Annual
https://www.eia.gov/opendata/qb.php?category=711246&sdid=TOTAL.MVMIRUS.A
17:06:46 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.MVMIRUS.A Miles per Vehicle
2016,11810
2015,11742
2014,11621
2013,11679
2012,11707
2011,11652
2010,11866
2009,11631
2008,11631
2007,11915
2006,12017
2005,12082
2004,12200
2003,12208
2002,12171
2001,11887
2000,12164
1999,12206
1998,12211
1997,12107
1996,11813
1995,11793
1994,11683
1993,11595
1992,11558
1991,11294
1990,11107
1989,10932
1988,10721
1987,10453
1986,10143
1985,10020
1984,10017
1983,9760
1982,9644
1981,9477
1980,9458
1979,9722
1978,10077
1977,9978
1976,9774
1975,9627
1974,9493
1973,10099
1972,10279
1971,10133
1970,9976
1969,9885
1968,9864
1967,9751
1966,9675
1965,9826
1964,9805
1963,9737
1962,9687
1961,9708
1960,9732
1959,9817
1958,9732
1957,9609
1956,9688
1955,9661
1954,9605
1953,9684
1952,9642
1951,9460
1950,9321
1949,9498
