Electricity Retail Sales Total Annual
https://www.eia.gov/opendata/qb.php?category=711279&sdid=TOTAL.ESTCPUS.A
17:48:23 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.ESTCPUS.A Million Kilowatthours
2017,3681994.588
2016,3762461.63
2015,3758992.389
2014,3764700.267
2013,3724867.821
2012,3694649.786
2011,3749846.18
2010,3754841.368
2009,3596795.134
2008,3733964.619
2007,3764560.712
2006,3669918.84
2005,3660968.513
2004,3547479.483
2003,3493734.486
2002,3465466.011
2001,3394458.104
2000,3421414.268
1999,3312087.08
1998,3264230.751
1997,3145610.425
1996,3101127.025
1995,3013286.589
1994,2934562.864
1993,2861462.34
1992,2763365.446
1991,2762003.04
1990,2712554.665
1989,2646809.332
1988,2578062.495
1987,2457272.219
1986,2368753.052
1985,2323973.852
1984,2285796.394
1983,2150954.584
1982,2086441.352
1981,2147102.862
1980,2094449
1979,2071099
1978,2017922
1977,1948361.212
1976,1855246.094
1975,1747090.627
1974,1705923.726
1973,1712908.781
1972,1595160.691
1971,1469540.277
1970,1392299.9
1969,1313833.246
1968,1202871.017
1967,1099217.266
1966,1035144.6
1965,953789.313
1964,896059.014
1963,832613.108
1962,777599.729
1961,721950.183
1960,688074.762
1959,646887.877
1958,587863.052
1957,575820.175
1956,546280.491
1955,496748.053
1954,424163.792
1953,396216.896
1952,356163.96
1951,330284.583
1950,291443.326
1949,254511.334
