Total Renewable Energy Consumed by the Electric Power Sector Annual
https://www.eia.gov/opendata/qb.php?category=711305&sdid=TOTAL.REEIBUS.A
09:39:03 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.REEIBUS.A Trillion Btu
2017,6234.818
2016,5531.334
2015,4984.538
2014,5025.74
2013,4832.704
2012,4585.773
2011,4854.541
2010,4064.369
2009,3967.218
2008,3629.575
2007,3344.581
2006,3665.109
2005,3406.319
2004,3338.717
2003,3410.95
2002,3288.351
2001,2763.015
2000,3426.524
1999,3873.546
1998,3872.408
1997,4216.34
1996,4152.843
1995,3746.766
1994,3255.047
1993,3484.438
1992,3189.014
1991,3541.595
1990,3523.892
1989,3216.598
1988,2425.355
1987,2729.377
1986,3158.317
1985,3049.207
1984,3442.991
1983,3561.926
1982,3286.494
1981,2788.207
1980,2924.505
1979,2942.01
1978,2939.769
1977,2343.051
1976,2983.17
1975,3158.054
1974,3171.606
1973,2850.507
1972,2847.955
1971,2799.405
1970,2608.759
1969,2623.527
1968,2321.889
1967,2317.47
1966,2033.817
1965,2031.108
1964,1856.223
1963,1740.542
1962,1782.561
1961,1622.967
1960,1571.034
1959,1513.139
1958,1556.745
1957,1482.1
1956,1399.698
1955,1324.929
1954,1307.303
1953,1361.372
1952,1410.709
1951,1366.029
1950,1351.481
1949,1354.988
