Waste Consumption for Electricity Generation and Useful Thermal Output Electric Power Sector Annual
https://www.eia.gov/opendata/qb.php?category=711305&sdid=TOTAL.WSEIBUS.A
09:41:24 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.WSEIBUS.A Trillion Btu
2017,280.217
2016,280.662
2015,281.022
2014,278.89
2013,262.185
2012,262.453
2011,254.568
2010,263.775
2009,260.966
2008,257.926
2007,237.492
2006,230.667
2005,220.722
2004,222.877
2003,229.882
2002,229.782
2001,210.736
2000,318.433
1999,315.198
1998,307.789
1997,308.981
1996,300.413
1995,296.252
1994,281.554
1993,264.787
1992,262.236
1991,228.556
1990,187.991
1989,131.955
1988,7.622
1987,7.23
1986,7.158
1985,6.682
1984,4.432
1983,1.712
1982,1.307
1981,1.282
1980,1.639
1979,2.052
1978,1.455
1977,1.808
1976,1.889
1975,1.806
1974,1.902
1973,2.056
1972,2.073
1971,2.094
1970,2.313
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
