Wood Consumption for Electricity Generation and Useful Thermal Output Electric Power Sector Annual
https://www.eia.gov/opendata/qb.php?category=711305&sdid=TOTAL.WDEIBUS.A
09:39:45 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.WDEIBUS.A Trillion Btu
2017,229.324
2016,224.407
2015,243.857
2014,251.253
2013,207.426
2012,190.191
2011,182.159
2010,195.597
2009,180.046
2008,177.348
2007,185.956
2006,181.815
2005,184.973
2004,165.189
2003,167.287
2002,150.192
2001,126.402
2000,134.321
1999,138.026
1998,136.707
1997,136.992
1996,137.86
1995,125.412
1994,152.335
1993,149.832
1992,140.221
1991,125.795
1990,128.516
1989,99.575
1988,9.663
1987,8.159
1986,5.134
1985,7.765
1984,4.817
1983,2.271
1982,2.048
1981,2.563
1980,2.861
1979,3.104
1978,2.043
1977,3.21
1976,0.875
1975,0.183
1974,0.716
1973,1.355
1972,1.358
1971,1.167
1970,1.427
1969,3.342
1968,3.9
1967,3.293
1966,3.478
1965,2.81
1964,1.549
1963,1.341
1962,1.349
1961,1.339
1960,1.508
1959,1.677
1958,1.94
1957,2.008
1956,1.738
1955,3.234
1954,3.209
1953,5.019
1952,6.435
1951,5.331
1950,5.466
1949,5.803
