Biomass Imports Annual
https://www.eia.gov/opendata/qb.php?category=711241&sdid=TOTAL.BFIMBUS.A
09:31:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.BFIMBUS.A Trillion Btu
2017,81.35
2016,122.588
2015,79.354
2014,46.491
2013,101.868
2012,48.703
2011,19.011
2010,4.46
2009,26.574
2008,85.293
2007,54.782
2006,66.298
2005,12.361
2004,12.823
2003,1.531
2002,2.119
2001,1.526
2000,0.402
1999,0.302
1998,0.229
1997,0.295
1996,1.086
1995,1.342
1994,0.968
1993,0.846
1992,
1991,
1990,
1989,
1988,
1987,
1986,
1985,
1984,
1983,
1982,
1981,
1980,
1979,
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
