Biofuels Consumption Annual
https://www.eia.gov/opendata/qb.php?category=711302&sdid=TOTAL.BFTCBUS.A
14:31:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.BFTCBUS.A Trillion Btu
2017,2301.812
2016,2278.814
2015,2144.978
2014,2066.833
2013,2007.181
2012,1892.252
2011,1933.413
2010,1821.121
2009,1553.334
2008,1357.144
2007,982.814
2006,766.26
2005,574.014
2004,497.777
2003,403.087
2002,303.333
2001,252.647
2000,235.712
1999,208.967
1998,201.034
1997,183.627
1996,142.789
1995,199.797
1994,188.391
1993,169.062
1992,145.005
1991,128
1990,110.867
1989,125.378
1988,124.058
1987,122.725
1986,107.099
1985,93.151
1984,77.302
1983,63.143
1982,34.404
1981,12.72
1980,
1979,
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
