Biofuels Production Annual
https://www.eia.gov/opendata/qb.php?category=711302&sdid=TOTAL.BFPRBUS.A
14:33:35 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.BFPRBUS.A Trillion Btu
2017,2344.298
2016,2274.948
2015,2161.44
2014,2103.411
2013,1980.94
2012,1928.887
2011,2029.308
2010,1867.88
2009,1569.92
2008,1374.001
2007,970.07
2006,715.635
2005,561.27
2004,485.722
2003,401.394
2002,308.118
2001,254.453
2000,233.146
1999,210.809
1998,202.474
1997,186.315
1996,141.284
1995,197.737
1994,188.391
1993,169.336
1992,145.005
1991,128
1990,110.867
1989,125.378
1988,124.058
1987,122.725
1986,107.099
1985,93.151
1984,77.302
1983,63.143
1982,34.404
1981,12.72
1980,
1979,
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
