Total Renewable Energy Production Annual
https://www.eia.gov/opendata/qb.php?category=711302&sdid=TOTAL.REPRBUS.A
14:30:37 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.REPRBUS.A Trillion Btu
2017,11199.511
2016,10328.262
2015,9650.413
2014,9774.338
2013,9426.248
2012,8865.812
2011,9223.985
2010,8212.436
2009,7620.408
2008,7191.153
2007,6510.121
2006,6586.069
2005,6220.691
2004,6062.59
2003,5942.401
2002,5730.845
2001,5161.724
2000,6101.628
1999,6515.553
1998,6492.705
1997,7016.784
1996,7010.865
1995,6557.288
1994,5987.123
1993,6081.893
1992,5820.541
1991,6067.771
1990,6040.012
1989,6234.647
1988,5456.754
1987,5621.807
1986,6111.14
1985,6084.017
1984,6437.864
1983,6495.612
1982,5979.637
1981,5413.688
1980,5428.342
1979,5122.854
1978,5005.44
1977,4208.966
1976,4727.151
1975,4687.12
1974,4741.852
1973,4410.938
1972,4382.009
1971,4262.213
1970,4070.021
1969,4094.892
1968,3772.656
1967,3690.213
1966,3432.462
1965,3395.816
1964,3225.248
1963,3096.431
1962,3117.444
1961,2952.226
1960,2928.204
1959,2901.339
1958,2915.09
1957,2849.194
1956,2850.582
1955,2783.987
1954,2754.099
1953,2831.46
1952,2940.181
1951,2958.464
1950,2977.718
1949,2973.984
