Conventional Hydroelectric Power Consumed by the Electric Power Sector Annual
https://www.eia.gov/opendata/qb.php?category=711305&sdid=TOTAL.HVEGBUS.A
09:40:36 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.HVEGBUS.A Trillion Btu
2017,2752.024
2016,2458.721
2015,2307.717
2014,2454.019
2013,2528.923
2012,2606.047
2011,3085.127
2010,2521.486
2009,2649.898
2008,2494.003
2007,2429.909
2006,2839.353
2005,2670.131
2004,2654.88
2003,2749.056
2002,2649.979
2001,2208.671
2000,2767.916
1999,3217.744
1998,3241.286
1997,3581.168
1996,3527.582
1995,3149.392
1994,2620.314
1993,2860.991
1992,2585.662
1991,2984.899
1990,3014.012
1989,2808.182
1988,2301.629
1987,2601.572
1986,3038.157
1985,2937.168
1984,3352.809
1983,3494.005
1982,3232.512
1981,2724.925
1980,2867.306
1979,2896.591
1978,2905.42
1977,2300.652
1976,2942.893
1975,3122.285
1974,3143.378
1973,2826.675
1972,2829.445
1971,2790.405
1970,2599.507
1969,2613.763
1968,2313.457
1967,2310.877
1966,2028.381
1965,2026.32
1964,1852.542
1963,1737.441
1962,1780.151
1961,1620.627
1960,1569.167
1959,1511.462
1958,1554.805
1957,1480.092
1956,1397.96
1955,1321.695
1954,1304.094
1953,1356.353
1952,1404.274
1951,1360.698
1950,1346.015
1949,1349.185
