Geothermal Energy Consumption per Production Annual
https://www.eia.gov/opendata/qb.php?category=711239&sdid=TOTAL.GETCBUS.A
09:25:43 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.GETCBUS.A Trillion Btu
2017,210.233
2016,209.604
2015,211.836
2014,214.49
2013,214.006
2012,211.592
2011,212.311
2010,207.979
2009,200.185
2008,192.433
2007,185.774
2006,181.2
2005,180.703
2004,178.147
2003,173.445
2002,171.164
2001,164.461
2000,164.364
1999,170.921
1998,168.45
1997,166.698
1996,163.359
1995,152.057
1994,173.464
1993,185.673
1992,178.699
1991,177.626
1990,170.747
1989,161.539
1988,106.338
1987,112.27
1986,107.677
1985,97.421
1984,80.811
1983,63.91
1982,50.627
1981,59.437
1980,52.699
1979,40.262
1978,30.851
1977,37.382
1976,37.513
1975,33.78
1974,25.61
1973,20.422
1972,15.079
1971,5.739
1970,5.511
1969,6.422
1968,4.532
1967,3.3
1966,1.958
1965,1.978
1964,2.132
1963,1.76
1962,1.061
1961,1.001
1960,0.359
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
