Geothermal Energy Consumed by the Electric Power Sector Annual
https://www.eia.gov/opendata/qb.php?category=711305&sdid=TOTAL.GEEGBUS.A
09:41:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.GEEGBUS.A Trillion Btu
2017,146.733
2016,146.104
2015,148.336
2014,150.99
2013,150.506
2012,148.092
2011,148.811
2010,148.479
2009,146.485
2008,146.233
2007,144.674
2006,144.5
2005,146.903
2004,148.347
2003,146.045
2002,147.42
2001,141.981
2000,143.764
1999,151.621
1998,150.65
1997,150.398
1996,148.159
1995,137.957
1994,160.264
1993,173.073
1992,166.899
1991,166.626
1990,160.547
1989,152.239
1988,106.338
1987,112.27
1986,107.677
1985,97.421
1984,80.811
1983,63.91
1982,50.627
1981,59.437
1980,52.699
1979,40.262
1978,30.851
1977,37.382
1976,37.513
1975,33.78
1974,25.61
1973,20.422
1972,15.079
1971,5.739
1970,5.511
1969,6.422
1968,4.532
1967,3.3
1966,1.958
1965,1.978
1964,2.132
1963,1.76
1962,1.061
1961,1.001
1960,0.359
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
