Solar per PV Energy Consumption per Production Annual
https://www.eia.gov/opendata/qb.php?category=711239&sdid=TOTAL.SOTCBUS.A
09:27:08 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.SOTCBUS.A Trillion Btu
2017,774.466
2016,568.665
2015,425.727
2014,336.939
2013,224.523
2012,156.849
2011,111.129
2010,90.483
2009,77.654
2008,73.814
2007,65.375
2006,60.581
2005,57.773
2004,58.295
2003,58.366
2002,59.923
2001,61.626
2000,63.43
1999,66.031
1998,67.419
1997,68.14
1996,69.11
1995,68.212
1994,67.108
1993,65.173
1992,62.865
1991,61.609
1990,58.755
1989,54.455
1988,0.094
1987,0.109
1986,0.147
1985,0.111
1984,0.055
1983,
1982,
1981,
1980,
1979,
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
