Total Biomass Energy Consumed by the Electric Power Sector Annual
https://www.eia.gov/opendata/qb.php?category=711305&sdid=TOTAL.BMEIBUS.A
09:42:00 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.BMEIBUS.A Trillion Btu
2017,509.541
2016,505.069
2015,524.879
2014,530.143
2013,469.611
2012,452.644
2011,436.727
2010,459.372
2009,441.012
2008,435.274
2007,423.447
2006,412.482
2005,405.695
2004,388.066
2003,397.169
2002,379.974
2001,337.138
2000,452.754
1999,453.224
1998,444.496
1997,445.973
1996,438.273
1995,421.664
1994,433.889
1993,414.619
1992,402.457
1991,354.351
1990,316.507
1989,231.53
1988,17.285
1987,15.389
1986,12.292
1985,14.447
1984,9.249
1983,3.983
1982,3.355
1981,3.845
1980,4.5
1979,5.156
1978,3.498
1977,5.018
1976,2.764
1975,1.989
1974,2.618
1973,3.411
1972,3.431
1971,3.261
1970,3.74
1969,3.342
1968,3.9
1967,3.293
1966,3.478
1965,2.81
1964,1.549
1963,1.341
1962,1.349
1961,1.339
1960,1.508
1959,1.677
1958,1.94
1957,2.008
1956,1.738
1955,3.234
1954,3.209
1953,5.019
1952,6.435
1951,5.331
1950,5.466
1949,5.803
