Total Biomass Energy Production Annual
https://www.eia.gov/opendata/qb.php?category=711239&sdid=TOTAL.BMPRBUS.A
09:25:23 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.BMPRBUS.A Trillion Btu
2017,5104.952
2016,4981.956
2015,4914.367
2014,5028.791
2013,4823.977
2012,4528.61
2011,4630.057
2010,4452.006
2009,3952.617
2008,3868.25
2007,3472.08
2006,3211.515
2005,3101.186
2004,2996.017
2003,2804.778
2002,2705.406
2001,2624.162
2000,3005.661
1999,2965.132
1998,2928.93
1997,3107.908
1996,3155.301
1995,3099.082
1994,3027.534
1993,2908.446
1992,2931.678
1991,2781.797
1990,2735.112
1989,3159.357
1988,3016.049
1987,2874.884
1986,2932.095
1985,3016.233
1984,2971.12
1983,2904.414
1982,2663.452
1981,2596.283
1980,2475.5
1979,2151.906
1978,2037.605
1977,1838.332
1976,1713.373
1975,1498.734
1974,1539.662
1973,1529.068
1972,1503.065
1971,1432.323
1970,1430.962
1969,1440.487
1968,1419.495
1967,1340.249
1966,1368.985
1965,1334.761
1964,1336.802
1963,1323.316
1962,1300.242
1961,1294.762
1960,1319.87
1959,1352.874
1958,1323.123
1957,1333.581
1956,1415.871
1955,1424.143
1954,1394.327
1953,1418.601
1952,1474.369
1951,1534.669
1950,1562.307
1949,1549.262
