,primary-energy,gdp,population,PPIACO,miles-per-vehicle,crude_oil,natural-gas,pri-energy-production,Electricity-price,coal-price,Energy-export,Energy-import,Heating-degree,Cooling-degree,CO2,renewable,Vehicle-fuel-economy,renewable-energy-consumption
1949-01-01,31981.502999999997,2008.9,149.2,0.26308333333333334,9498.0,2.54,0.06,31722.16,254511.33399999997,36.14,1591.76,-143.602,4938.0,1101.0,2206.6910000000003,2973.9840000000004,13.1,2973.9840000000004
1950-01-01,34615.768,2184.0,152.3,0.2734166666666667,9321.0,2.51,0.07,35540.384,291443.326,35.41,1465.3220000000001,447.565,5367.0,871.0,2382.0460000000003,2977.718,12.8,2977.718
1951-01-01,36974.03,2360.0,154.9,0.3042500000000001,9460.0,2.53,0.07,38750.615,330284.583,33.67,2621.545,-729.1189999999999,5315.0,974.0,2526.687,2958.4640000000004,12.9,2958.4640000000004
1952-01-01,36747.825,2456.1,157.6,0.29600000000000004,9642.0,2.53,0.08,37916.913,356163.96,32.97,2365.131,-219.14700000000002,5085.0,1109.0,2473.374,2940.1809999999996,12.7,2940.1809999999996
1953-01-01,37664.468,2571.4,160.2,0.29175,9684.0,2.68,0.09,38180.796,396216.896,32.34,1866.013,447.029,4749.0,1105.0,2536.893,2831.46,12.7,2831.46
1954-01-01,36639.382000000005,2556.9,163.0,0.29258333333333336,9605.0,2.78,0.1,36518.43,424163.792,29.47,1696.3010000000002,651.575,4964.0,1085.0,2422.2529999999997,2754.099,12.7,2754.099
1955-01-01,40207.971,2739.0,165.9,0.29358333333333336,9661.0,2.77,0.1,40147.667,496748.05299999996,28.25,2285.508,504.399,5246.0,1144.0,2684.7859999999996,2783.987,12.7,2783.987
1956-01-01,41754.252,2797.4,168.9,0.30283333333333334,9688.0,2.79,0.11,42622.032999999996,546280.491,29.18,2945.377,261.36400000000003,5128.0,999.0,2777.0429999999997,2850.5820000000003,12.6,2850.5820000000003
1957-01-01,41787.186,2856.3,172.0,0.31174999999999997,9609.0,3.09,0.11,42982.79,575820.175,29.76,3439.441,89.541,5047.0,1016.0,2756.562,2849.1940000000004,12.4,2849.1940000000004
1958-01-01,41645.028,2835.3,174.9,0.3159166666666667,9732.0,3.01,0.12,40133.327000000005,587863.052,27.95,2049.839,1834.533,5468.0,963.0,2703.1890000000003,2915.09,12.4,2915.09
1959-01-01,43465.722,3031.0,177.8,0.31666666666666665,9817.0,2.9,0.13,41948.742,646887.877,26.97,1533.808,2542.47,5095.0,1142.0,2807.171,2901.3390000000004,12.4,2901.3390000000004
1960-01-01,45086.455,3108.7,180.7,0.31683333333333324,9732.0,2.88,0.14,42803.347,688074.762,25.95,1477.475,2710.151,5404.0,1000.0,2914.009,2928.204,12.4,2928.204
1961-01-01,45737.837,3188.1,183.7,0.31575000000000003,9708.0,2.89,0.15,43279.04,721950.183,25.13,1376.5839999999998,3060.316,5193.0,980.0,2942.7909999999997,2952.2259999999997,12.4,2952.2259999999997
1962-01-01,47826.437000000005,3383.1,186.5,0.31649999999999995,9687.0,2.9,0.16,44875.724,777599.729,24.22,1472.536,3521.744,5344.0,994.0,3064.923,3117.4440000000004,12.4,3117.4440000000004
1963-01-01,49644.195,3530.4,189.2,0.31575000000000003,9737.0,2.89,0.16,47171.759000000005,832613.108,23.6,1835.183,3251.4709999999995,5361.0,1014.0,3184.5170000000003,3096.4309999999996,12.5,3096.4309999999996
1964-01-01,51814.788,3734.0,191.9,0.3163333333333333,9805.0,2.88,0.15,49054.018,896059.0140000001,23.49,1814.661,3632.635,5086.0,1009.0,3316.7529999999997,3225.248,12.5,3225.248
1965-01-01,54015.001,3976.7,194.3,0.32266666666666666,9826.0,2.86,0.16,50673.882000000005,953789.313,22.82,1828.933,4063.0029999999997,5146.0,979.0,3461.741,3395.816,12.5,3395.816
1966-01-01,57014.332,4238.9,196.6,0.3330833333333334,9675.0,2.88,0.16,53531.987,1035144.6,22.53,1829.067,4316.764,5310.0,982.0,3654.179,3432.462,12.4,3432.462
1967-01-01,58904.52099999999,4355.2,198.7,0.3339999999999999,9751.0,2.92,0.16,56375.801,1099217.2659999998,22.19,2115.402,4043.7529999999997,5216.0,902.0,3749.382,3690.2129999999997,12.4,3690.2129999999997
1968-01-01,62414.507000000005,4569.0,200.7,0.34233333333333327,9864.0,2.94,0.16,58220.376,1202871.017,21.56,1998.489,4906.625,5248.0,977.0,3964.5229999999997,3772.656,12.2,3772.656
1969-01-01,65614.02,4712.5,202.7,0.35591666666666666,9885.0,3.09,0.17,60534.182,1313833.246,21.97,2125.659,5550.558000000001,5303.0,1020.0,4134.687,4094.8920000000003,12.0,4094.8920000000003
1970-01-01,67838.325,4722.0,205.1,0.36900000000000005,9976.0,3.18,0.17,63495.439000000006,1392299.9,26.05,2632.135,5709.48,5218.0,1079.0,4261.308,4070.0209999999997,12.0,4070.0209999999997
