Year,total-renewable-consumption,total-renewable-production,Hydroelectric-power,Hydroelectric-power-Con-Pro,Geothermal_Energy_Consumption_per_Production,Geothermal_Energy_Consumption_by_the_Electric_Power,Solar_per_PV_Energy_Consumption_per_Production,Total_Biomass_Energy_Consumed_by_the_Electric_Power,Total_Biomass_Energy_Production,Total_Renewable_Energy_Consumed_by_the_Electric_Power,Waste_Consumption_for_Electricity,Wind_Energy_Consumed_by_the_Electric_Power,Wind_Energy_Consumption_per_Production,Wood_Consumption_for_Electricity,Biomass_Exports,Biomass_Imports,Biofuels_Consumption,Biofuels_Production
1949-01-01,2973.9840000000004,2973.9840000000004,1349.185,1424.7220000000002,0.0,0.0,0.0,5.803,1549.2620000000002,1354.9879999999998,0.0,0.0,0.0,5.803,0.0,0.0,0.0,0.0
1950-01-01,2977.718,2977.718,1346.015,1415.411,0.0,0.0,0.0,5.466,1562.307,1351.481,0.0,0.0,0.0,5.466,0.0,0.0,0.0,0.0
1951-01-01,2958.4640000000004,2958.4640000000004,1360.6979999999999,1423.795,0.0,0.0,0.0,5.331,1534.6689999999999,1366.029,0.0,0.0,0.0,5.331,0.0,0.0,0.0,0.0
1952-01-01,2940.1809999999996,2940.1809999999996,1404.274,1465.8120000000001,0.0,0.0,0.0,6.435,1474.369,1410.7089999999998,0.0,0.0,0.0,6.435,0.0,0.0,0.0,0.0
1953-01-01,2831.46,2831.46,1356.3529999999998,1412.859,0.0,0.0,0.0,5.019,1418.601,1361.372,0.0,0.0,0.0,5.019,0.0,0.0,0.0,0.0
1954-01-01,2754.099,2754.099,1304.094,1359.7720000000002,0.0,0.0,0.0,3.2089999999999996,1394.3270000000002,1307.303,0.0,0.0,0.0,3.2089999999999996,0.0,0.0,0.0,0.0
1955-01-01,2783.987,2783.987,1321.695,1359.844,0.0,0.0,0.0,3.234,1424.1429999999998,1324.9289999999999,0.0,0.0,0.0,3.234,0.0,0.0,0.0,0.0
1956-01-01,2850.5820000000003,2850.5820000000003,1397.96,1434.711,0.0,0.0,0.0,1.7380000000000002,1415.871,1399.6979999999999,0.0,0.0,0.0,1.7380000000000002,0.0,0.0,0.0,0.0
1957-01-01,2849.1940000000004,2849.1940000000004,1480.092,1515.6129999999998,0.0,0.0,0.0,2.008,1333.5810000000001,1482.1,0.0,0.0,0.0,2.008,0.0,0.0,0.0,0.0
1958-01-01,2915.09,2915.09,1554.805,1591.967,0.0,0.0,0.0,1.94,1323.1229999999998,1556.745,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0
1959-01-01,2901.3390000000004,2901.3390000000004,1511.4620000000002,1548.465,0.0,0.0,0.0,1.6769999999999998,1352.874,1513.139,0.0,0.0,0.0,1.6769999999999998,0.0,0.0,0.0,0.0
1960-01-01,2928.204,2928.204,1569.1670000000001,1607.975,0.359,0.359,0.0,1.508,1319.87,1571.0339999999999,0.0,0.0,0.0,1.508,0.0,0.0,0.0,0.0
1961-01-01,2952.2259999999997,2952.2259999999997,1620.6270000000002,1656.463,1.001,1.001,0.0,1.339,1294.762,1622.967,0.0,0.0,0.0,1.339,0.0,0.0,0.0,0.0
1962-01-01,3117.4440000000004,3117.4440000000004,1780.151,1816.141,1.061,1.061,0.0,1.349,1300.242,1782.5610000000001,0.0,0.0,0.0,1.349,0.0,0.0,0.0,0.0
1963-01-01,3096.4309999999996,3096.4309999999996,1737.441,1771.355,1.76,1.76,0.0,1.341,1323.316,1740.5420000000001,0.0,0.0,0.0,1.341,0.0,0.0,0.0,0.0
